gsr_max,gsr_min,min_ra,max_ra,gsr_mean,gsr_sd,gsr_var,ecg_avg,ecg_median,ecg_sd,fear,angry,happy,sad,class
16.1,12.29,0.763,1.31,13.339,0.815,0.665,0.930781503,0.769875,0.979169198,1,2,1,2,0
15.22,12.48,0.82,1.22,13.304,0.593,0.351,0.931945676,0.7394175,1.166707859,1,1,5,1,0
13.07,11.41,0.873,1.145,12.114,0.365,0.133,1.156536442,0.8233865,0.907463075,1,4,1,4,1
9.75,7.5,0.769,1.3,8.519,0.577,0.333,0.906697712,0.8171885,0.270301777,3,1,1,4,3
10.04,6.91,0.688,1.453,7.833,0.553,0.306,0.865414592,0.7949235,0.282494876,1,1,1,5,1
11.11,7.3,0.657,1.522,8.473,0.733,0.537,0.856870394,0.766111,0.296153742,1,1,5,1,0
9.84,7.89,0.802,1.247,9.042,0.426,0.182,0.994922938,0.8008025,0.377040351,4,1,1,4,1
11.7,7.6,0.65,1.539,8.978,1.022,1.045,0.92840307,0.7824005,0.478111636,1,5,1,1,2
9.94,8.57,0.862,1.16,9.042,0.373,0.139,0.959123239,0.852086,0.328912299,1,5,1,5,2
11.6,8.77,0.756,1.323,9.707,0.541,0.293,0.920940799,0.8645515,0.294434272,5,1,1,5,3
13.66,7.89,0.578,1.731,9.69,1.379,1.902,0.928403851,0.868311,0.257357232,1,5,1,5,2
7.69,6.32,0.822,1.217,6.747,0.331,0.11,0.869702122,0.753722,0.332850923,1,4,1,1,2
8.77,6.42,0.732,1.366,7.156,0.532,0.283,2.109510521,1.577193,1.910298245,1,1,2,1,1
8.38,6.23,0.743,1.345,7.169,0.574,0.33,2.406636175,1.703938,2.193645195,1,1,4,1,0
9.06,6.32,0.698,1.434,7.093,0.592,0.35,2.023387738,1.621917,1.833677697,3,1,1,4,3
9.06,6.03,0.666,1.502,7.019,0.606,0.367,0.830490369,0.8076335,0.348139253,1,1,1,4,1
8.57,6.32,0.737,1.356,7.283,0.642,0.413,0.922318693,0.766103,0.486819363,1,2,3,1,2
9.45,6.72,0.711,1.406,7.609,0.523,0.274,0.861940287,0.8071135,0.372624077,1,1,1,5,1
9.35,6.91,0.739,1.353,7.853,0.436,0.19,0.761843112,0.798544,0.323994097,1,1,1,1,0
9.16,7.11,0.776,1.288,7.873,0.384,0.147,0.763611577,0.8111,0.237660176,1,1,5,1,0
10.04,7.01,0.698,1.432,7.842,0.56,0.313,0.798646762,0.8645385,0.249654655,1,4,1,2,1
10.33,3.1,0.3,3.332,7.534,2.187,4.782,0.847836,0.7699875,0.46422776,1,1,1,2,3
10.72,2.61,0.243,4.107,7.135,2.191,4.802,0.731922496,0.782262,0.353630268,1,1,2,4,1
15.22,2.51,0.165,6.064,7.604,2.568,6.593,0.734343173,0.778459,0.278807035,1,1,4,2,0
15.81,2.71,0.171,5.834,9.69,2.469,6.096,0.7414495,0.745756,0.227440745,4,1,1,1,1
14.54,2.9,0.199,5.014,8.075,2.716,7.376,0.684476649,0.7823665,0.306485356,1,5,1,2,2
16.49,11.31,0.686,1.458,13.745,1.085,1.176,0.724011889,0.810973,0.292138605,4,5,1,1,2
15.02,9.84,0.655,1.526,11.434,0.964,0.928,0.782449563,0.8110385,0.298380383,5,1,1,1,3
14.63,3.49,0.239,4.192,8.463,2.824,7.976,0.804772121,0.88038,0.325958953,2,3,1,2,2
16.98,10.43,0.614,1.628,12.74,1.229,1.511,0.784332709,0.852293,0.309268103,2,5,1,2,2
15.61,8.28,0.53,1.885,10.682,1.759,3.095,0.753630537,0.837756,0.291634226,5,1,1,5,1
18.05,12.39,0.686,1.457,14.863,0.952,0.907,0.790742763,0.880519,0.308397657,1,1,3,1,0
15.61,7.89,0.505,1.978,10.625,1.691,2.861,0.731236076,0.858254,0.311577708,5,1,1,2,3
20.69,9.94,0.48,2.081,13.39,2.203,4.853,0.75979719,0.864336,0.295040018,1,1,1,5,1
15.22,9.35,0.614,1.628,12.042,1.232,1.517,0.771069863,0.880521,0.283045691,1,5,1,1,2
15.32,6.81,0.445,2.25,9.615,1.771,3.136,0.784975031,0.8233535,0.389532198,1,2,1,5,1
14.24,7.6,0.534,1.874,9.789,1.528,2.336,0.761843112,0.798544,0.323994097,1,1,5,2,0
15.02,6.23,0.415,2.411,8.932,1.735,3.011,0.763611577,0.8111,0.237660176,1,1,5,1,0
15.22,6.73,0.512,1.811,9.762,1.535,2.411,0.798646762,0.8645385,0.249654655,1,3,1,4,1
10.14,9.06,0.893,1.119,9.437,0.319,0.101,0.869702122,0.753722,0.332850923,1,5,1,5,2
12.39,9.26,0.747,1.338,10.017,0.536,0.287,1.040199084,0.905545,0.396499078,5,1,1,4,1
10.72,8.87,0.827,1.209,9.437,0.485,0.235,1.043677695,0.880652,0.475419911,1,1,4,1,0
11.41,9.06,0.794,1.259,9.905,0.584,0.341,1.282365163,0.991322,0.804353215,5,1,1,3,3
11.7,8.96,0.766,1.306,9.758,0.536,0.287,1.331536549,0.934149,0.873166036,1,1,1,5,1
11.99,8.96,0.747,1.338,9.703,0.666,0.444,1.389988974,0.9564745,0.795668545,1,5,1,1,2
11.21,9.16,0.817,1.224,9.843,0.493,0.243,1.230000427,0.9278485,0.683420924,1,1,1,5,1
10.82,8.96,0.828,1.208,9.58,0.389,0.151,1.102818557,0.933991,0.622236592,1,1,5,1,0
11.7,9.26,0.791,1.263,10.144,0.646,0.417,1.065262022,0.8089165,0.692223006,1,1,5,1,0
9.94,8.87,0.892,1.121,9.263,0.269,0.072,1.184035056,0.8931535,0.809962614,1,1,1,4,1
9.75,3.1,0.318,3.145,7.228,2.311,5.339,4.292145231,2.498716,3.629350438,5,1,1,4,3
10.04,2.61,0.26,3.847,6.627,2.149,4.62,1.499406782,0.921713,1.272797957,1,1,2,5,1
11.11,2.51,0.226,4.426,7.052,2.541,6.456,1.487926722,0.9216295,1.050064982,1,1,5,1,0
9.84,2.71,0.275,3.631,7.446,2.749,7.559,1.0568982,0.893007,0.455836194,4,3,1,5,1
11.7,2.9,0.248,4.034,7.549,2.627,6.902,1.105524564,0.868224,0.568672116,1,5,1,3,2
3.98,3.2,0.804,1.244,3.509,0.232,0.054,1.119260341,0.9052595,0.547930707,4,4,1,4,2
4.86,3.59,0.739,1.354,4.068,0.286,0.082,1.445679381,0.962436,1.176585376,5,1,1,4,3
13.66,3.49,0.255,3.914,8.22,2.772,7.684,1.72185621,1.0055205,1.12325551,2,5,1,3,2
4.37,3.88,0.888,1.126,4.126,0.129,0.017,2.299086059,1.7021035,1.76174843,2,5,1,3,2
